sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
| 166  | HashJoinExec                                                | 173191      | 3.73684            | 1427368      | 24             |             |               |              |
| 167  | HashJoinExec                                                | 173191      | 2.137055           | 713684       | 24             |             |               |              |
| 168  | HashJoinExec                                                | 0           | 0.059435           | 0            | 0              |             |               |              |
| 169  | AggregateExec                                               | 8           | 0.131479           | 64           | 8              |             |               |              |
| 170  | CoalescePartitionsExec                                      | 8           | 0.047389           | 64           | 8              |             |               |              |
| 171  | AggregateExec                                               | 1           | 0.005294           | 8            | 1              |             |               |              |
| 172  | ProjectionExec                                              | 1           | 0.001367           | 8            | 1              |             |               |              |
| 173  | CrossJoinExec                                               | 1           | 0.038913           | 16           | 1              |             |               |              |
| 174  | CrossJoinExec                                               | 1           | 0.034932           | 24           | 1              |             |               |              |
| 175  | ProjectionExec                                              | 1           | 0.002133           | 24           | 1              |             |               |              |
| 176  | CrossJoinExec                                               | 1           | 0.034996           | 32           | 1              |             |               |              |
| 177  | ProjectionExec                                              | 1           | 0.002697           | 32           | 1              |             |               |              |
| 178  | CrossJoinExec                                               | 1           | 0.037448           | 40           | 1              |             |               |              |
| 179  | ProjectionExec                                              | 1           | 0.00444            | 40           | 1              |             |               |              |
| 180  | CrossJoinExec                                               | 1           | 0.03676            | 48           | 1              |             |               |              |
| 181  | ProjectionExec                                              | 1           | 0.003461           | 48           | 1              |             |               |              |
| 182  | CrossJoinExec                                               | 1           | 0.039658           | 56           | 1              |             |               |              |
| 183  | ProjectionExec                                              | 1           | 0.004509           | 56           | 1              |             |               |              |
| 184  | CrossJoinExec                                               | 1           | 0.145853           | 64           | 1              |             |               |              |
| 185  | ProjectionExec                                              | 1           | 0.005381           | 64           | 1              |             |               |              |
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
(186 rows)
